year,sperm,oil,bone,tonnage,sperm_caught,baleen_caught_oil,baleen_caught_bone,baleen_caught,whale_catch,pop_baleen,pop_sperm
1872,33.9307023207657,35.17100714285718,244.0713523809524,50850.36660766602,1492.9509,644.80182,536.95697,644.80182,2137.7527,211360.27909969375,865192.4858202003
1873,31.59683333616704,29.81557499999999,219.3153333333333,43792.4499206543,1390.2606,546.6189,482.49374,546.6189,1936.8795,212532.5418841221,865442.1971658483
1874,31.90002498961985,29.09952222222222,220.7529083333333,40965.11659240723,1403.6011,533.49121,485.6564,533.49121,1937.0923,213870.05413226332,865865.6037932523
1875,35.24298327416182,31.43524722222223,181.111725,43401.14994049072,1550.6913,576.31287,398.4458,576.31287,2127.0042,215226.75174804596,866262.9635596855
1876,36.05522716511041,34.29909722222223,194.9341869047619,46826.86660766602,1586.4301,628.81677,428.85522,628.81677,2215.2468,216506.64489741423,866405.7585463668
1877,38.20805464684963,29.41770555555556,147.4012154761905,46925.03329467773,1681.1544,539.32458,324.28268,539.32458,2220.479,217693.13003434576,866486.3463762269
1878,36.48730466212146,30.17693055555556,192.0040071428572,48339.94998168945,1605.4414,553.24371,422.40881,553.24371,2158.6851,219029.06821107282,866404.3380793213
1879,34.61904645129107,41.02919722222224,270.4449571428572,46199.19999694824,1523.238,752.20197,594.97888,752.20197,2275.4399,220336.92492556453,866452.427469979
1880,32.84443808742799,42.24818888888888,398.7282238095238,44166.53332519531,1445.1553,774.55011,877.20209,877.20209,2322.3574,221300.1157198075,866640.7161738209
1881,28.19614649075083,35.18523055555556,241.7173238095238,43061.6999130249,1240.6305,645.06256,531.77814,645.06256,1885.6931,222046.1177673095,866961.0827992696
1882,23.1057715411298,23.87065555555555,238.9207238095238,38775.19989776611,1016.6539,437.62869,525.62561,525.62561,1542.2795,223186.31988256215,867628.7283185974
1883,20.0651666703634,18.57115,137.6402333333334,37561.36656188965,882.86731,340.47107,302.8085,340.47107,1223.3384,224526.38191495702,868674.2403201648
1884,19.48063334450126,21.79586666666665,220.2277666666667,34730.53325653076,857.14789,399.59088,484.5011,484.5011,1341.6489,226177.66424592305,869940.4614612192
1885,22.06777218542993,22.71614444444444,247.0760999999999,34628.78324890137,970.98199,416.46265,543.56744,543.56744,1514.5494,227575.63694426708,871240.8499684259
1886,16.55234159063548,22.1231,309.1412666666666,30609.28327941895,728.30304,405.59018,680.11078,680.11078,1408.4138,228866.3430123301,872336.4541296951
1887,14.44435829948634,21.55784166666667,371.0741333333335,27434.4832611084,635.55176,395.22711,816.3631,816.3631,1451.9148,229917.51493612953,873838.4665498408
1888,14.3908332772553,12.95979166666667,221.9971666666667,27622.78330993652,633.19666,237.59618,488.39377,488.39377,1121.5905,230730.58566084335,875487.2719081521
1889,14.09433340420946,12.00608333333333,178.2096666666667,28035.78327941895,620.1507,220.11153,392.06128,392.06128,1012.212,232100.4165328441,877127.0597641185
1890,10.73845836892724,13.37058333333333,223.7883333333334,24559.19995117188,472.49216,245.12737,492.33432,492.33432,964.82648,233627.8958970806,878776.1011831438
1891,8.739666695473716,11.840875,229.0168333333333,22755.28327941895,384.54535,217.0827,503.83704,503.83704,888.38239,234975.67612561924,880664.4278289696
1892,9.522916682530195,10.76588095238095,253.2751547619047,22473.06661987305,419.00833,197.37448,557.20532,557.20532,976.21362,236296.2268207573,882687.9143786831
1893,10.63937500864267,6.949630952380953,240.0521547619048,20577.44996643066,468.13251,127.4099,528.11475,528.11475,996.24725,237517.8407085188,884636.029909315
1894,13.92179170995951,6.338797619047619,182.3602380952381,18949.19999694824,612.55884,116.21129,401.19254,401.19254,1013.7513,238781.85919555285,886484.1985725065
1895,12.21200015209615,3.232630952380953,110.3685714285714,15466.36664581299,537.328,59.2649,242.81085,242.81085,780.13885,240255.07788595228,888070.1650437766
1896,11.49395852722228,3.491089285714286,109.0385714285714,15130.36663818359,505.73416,64.003304,239.88486,239.88486,745.61902,241989.6845602968,889771.6213610745
1897,9.841666789725423,4.756214285714285,197.5819047619047,13777.28330230713,433.03333,87.197266,434.68018,434.68018,867.7135,243717.74414990647,891512.9051421261
1898,10.39858326129615,3.930714285714285,157.0819047619048,11819.28330993652,457.53766,72.063095,345.5802,345.5802,803.11786,245100.73305134315,893363.8856387656
1899,12.31400000303984,5.01375,237.0816666666667,12114.19997406006,541.81598,91.918747,521.57965,521.57965,1063.3956,246626.16826392757,895157.3194856482
1900,12.8802500590682,4.075333333333333,125.1916666666666,10747.11663818359,566.73102,74.714447,275.42166,275.42166,842.15271,247839.36291964762,896791.3797734142
1901,13.4406665340066,4.494083333333333,48.96666666666667,10484.94998168945,591.38934,82.391525,107.72667,107.72667,699.11603,249464.25601934214,898368.8480261128
1902,13.1167499916628,3.0165,78.05,10549.44998168945,577.13702,55.302502,171.71001,171.71001,748.84705,251363.18211414063,899890.5702091673
